"Buchungsnummer","Lieferantenname","Nummer","Kontakt","Abteilung 1","Abteilung 2","Telefon","Rabatt","Fax","E-Mail","Steuernummer","Straße","PLZ","Stadt","Zahlungsbedingungen","Steuersatz","Rechnung","Lieferantenauftrag","Anfrage","Land","GLN","Erfassungsdatum","USt-IdNr.","Mailing an IT-Firmen","Newsletter","Adresse woher?"
"19579","Alejandro Aguilar","26","","","","0763387810","0.00","","alex_aguilar@gmx.ch","","Berninastrasse 42","8057","Zürich","","Inland","","","","","","26.08.2015","","","",""
"32008","Alex NLD","1520","","","","","0.00","","","","Kiryat Moshe 8","14388","Tiberias","","Inland","4426153","31","","Israel","","16.08.2017","","","",""
"","","","","","","","","","","","","","","","","","31","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"381242","Ali Baba Take Away","105","","","","","0.00","","","","Mattenstr. 29","8005","Zürich","","Inland","","","","","","28.04.2023","","Nein","Ja",""
"46189","Aliexpress","84","","","","","0.00","","","","","","","","Inland","","52","","China","","04.10.2018","","","",""
"","","","","","","","","","","","","","","","","","000499079731093","","","","","","","",""
"","","","","","","","","","","","","","","","","","43","","","","","","","",""
"","","","","","","","","","","","","","","","","3000499079731093","","","","","","","","",""
"","","","","","","","","","","","","","","","","3000499079751093","","","","","","","","",""
"","","","","","","","","","","","","","","","","506815940171093","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"16940","Allegra Swiss GmbH","994","","","","044 787 04 70","0.00","","","","Einsiedlerstrasse 15A","8834","Schindellegi","","Inland","","","","CH","","07.04.2015","","","",""
"17342","Allianz Suisse","1012","","","","","0.00","","","","","","","","Inland","","","","","","21.04.2015","","","",""
"381126","all-time gmbh","101","","","","","0.00","","","","Fulau 10","8352","Elsau","","Inland","","","","","","27.04.2023","","Nein","Ja",""
"2096","Alltron AG","013","","","","062 889 88 88","0.00","062 889 88 11","","","Hintermättlistrasse 3","5506","Mägenwil","","Inland","8250122","","","","","16.09.2009","","","",""
"","","","","","","","","","","","","","","","","9087371","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"31913","AL-Solution","1517","","","","+49 (0) 6227 398 27 67","0.00","","paypal@al-solution.de","","SAP-Allee 3","68789","St. Leon-Rot","","Inland","","","","D","","15.08.2017","","","",""
"","","","","","","","","","","","","","","","","29780057BE280610W","","","","","","","","",""
"2080","ALSO Schweiz AG","005","","","","041 266 11 11","0.00","041 266 11 22","","","Meierhofstrasse 5","6032","Emmen","","Inland","","","","","","16.09.2009","","","",""
"388807","Alternative Bank Schweiz AG","3125","","","","","0.00","","","","Amthausquai 21","4601","Olten","","Inland","","","","","","22.08.2023","","Nein","Ja",""
"313538","Andrea Hebeisen","98","052 383 15 61","","","","0.00","","an.hebeisen@gmail.com","","Bolsternstrasse 28","8483","Kollbrunn ZH","","Inland","R2019513a","AU2019218","","","","09.01.2020","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","R2019513","","","","","","","","",""
"33743","ApexWay","1590","","","","","0.00","","","","","","","","Inland","504641025841093","","","NL","","27.11.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"30292","Apotheke am Wipkingerplatz","1449","","","","","0.00","","","","Hönggerstr. 40","8037","Zürich","","Inland","0100202971242","","","","","04.04.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"353335","appleladen","99","","","","+41 41 240 36 60","0.00","","verkauf@appleladen.ch","CHE-112.622.120","Kasimir-Pfyffer-Strasse 12","6003","Luzern","","Inland","","","","","","27.01.2022","","Nein","Ja",""
"23154","A-Tech Components","1181","","","","1-866-557-4527","0.00","","","","1300 Green Cook Rd","43074","Sunbury OH","","Inland","4JT65890LK375913E","","","U.S.A.","","26.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"23878","AW Tech Group","1222","","","","","0.00","","sales@discountedlaptopparts.com","","","","","","Inland","725824492025","","","USA","","31.03.2016","","","",""
"","","","","","","","","","","","","","","","","552652432025","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2088","AXA Versicherungen AG","009","","","","0800 860 880","0.00","052 218 96 96","","","Generals Guisan-Str. 40","8401","Winterthur","","Inland","","","","","","16.09.2009","","","",""
"17484","Axone SA","1015","","","","022 312 5656","0.00","","info@nomino.com","","2, cours de Rive","1204","Genève","","Inland","","","","","","24.04.2015","","","",""
"17486","Axone SA","1016","","","","022 312 5656","0.00","","info@nomino.com","","2, cours de Rive","1204","Genève","","Inland","","","","","","24.04.2015","","","",""
"17123","Backbone Solutions AG","1006","","","","044 276 19 19","0.00","","info@sipcall.OMIT.ch","","Chaltenbodenstrasse 4b","8834","Schindellegi","","Inland","","","","CH","","13.04.2015","","","",""
"29582","Baobao Chen","1437","","","","","0.00","","","","Fuxing road Futian District","518000","Shenzhen","","Inland","501288178421093","","","","","28.02.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"16990","Baumann Peter","999","","","","","0.00","","","","","","","","Inland","","","","","","08.04.2015","","","",""
"2084","Benno-Shop, IT Ankauf.ch","007","","","","079 422 37 82","0.00","081 723 39 26","infos@benno-shop.ch","","alte Stadtergasse 3","7320","Sargans","","Inland","Benno160510","","","","","16.09.2009","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"24984","Bibi Abdul","36","","","","","0.00","","ambhati@hotmail.com","","30, campbell street","BL4 7HH","Boltion","","Inland","1669345559017","","","UK","","01.07.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"32051","Bierhaus Machold","1525","","","","","0.00","","","","Heerstr. 52","53111","Bonn","","Inland","","","","","","16.08.2017","","","",""
"441175","bloosite AG","139","","","","","0.00","","","","Obermühle 20","8353","Elgg","","Inland","","","","Schweiz","","28.01.2026","","Nein","Ja",""
"2376","Blum Raphael","12","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"58913","Booking.comBV","87","","","","","0.00","","paypal.b2@booking.com","","","","","","Inland","","","","","","12.08.2019","","Nein","Ja",""
"387263","Brack.ch AG","3104","","","","","0.00","","","","","","Mägenwil","","Inland","","","","","","25.07.2023","","Nein","Ja",""
"32054","BSVG/VRB","1526","","","","","0.00","","","","","","Braunschweig","","Inland","","","","","","16.08.2017","","","",""
"38198","Bucher Daniel","73","","","","079 951 56 11","0.00","","danibucher@outlook.com","","Wehntalerstrasse 567","8046","Zürich","","Inland","2687023","","","","","09.04.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17325","Bürotechnik Kempf Gmbh","1011","","","","","0.00","","","","Waldhof 10","8585","Langrickenbach","","Inland","","","","CH","","20.04.2015","","","",""
"32026","Café Zähringer","1521","","","","044 252 05 00","0.00","","","","Zähringerplatz 11","8001","Zürich","","Inland","","","","","","16.08.2017","","","",""
"37315","Caritas","70","","","","","0.00","","","","Reitergasse 1","8004","Zürich","","Inland","","","","","","12.03.2018","","","",""
"19717","Cheap-Batteries.com","1077","","","","(718) 491-2704","0.00","","info@cheap-batteries.com","","140 58th Street # 5-F","11220","Brooklyn, New York","","Inland","","","","","","03.09.2015","","","",""
"","","","","","","","","","","","","","","","","","69088956691093","","","","","","","",""
"28318","Chornlade","1380","","","","044 271 70 97","0.00","","info@chornlade.ch","","Fierzgasse 16","8005","Zürich","","Inland","","","","","","16.12.2016","","","",""
"383051","Christian Rüedi AG","112","","","","","0.00","","","","","","Wetzikon","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"22783","ChuangShengDa Technology Co.,Ltd","1175","Ms. Apple Zhang","","","","0.00","","zhle550@hotmail.com","","2nd Floor 21#, the third alley Chang Keng three zone, BanTian","618000","Shenzhen, Guangdong","","Inland","70268673681093","","","China","","07.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17633","Conrad Electronic AG","1020","","","","0848 80 12 80","0.00","0848 80 12 81","sales@conrad.ch","","Roosstrasse 53","8832","Wollerau","","Inland","","","","Schweiz","","06.05.2015","","","",""
"","","","","","","","","","","","","","","","","","3","","","","","","","",""
"16818","coop","17","","","","","0.00","","","","","8037","Zürich","","Inland","05691001493220010001241","","","","","19.03.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"387374","Copytron GmbH","3107","","","","","0.00","","","","Industriestr. 44","8152","Glattbrugg","","Inland","","","","","","27.07.2023","","Nein","Ja",""
"17738","Cornerstone Software","1025","","","","","0.00","","dwallen41@yahoo.com","","","","","","Inland","","","","","","11.05.2015","","","",""
"23284","CY.CPU","1186","chuangbin wang","","","","0.00","","","","","","Shenzhen, Guangdong","","Inland","","73386127551093","","China","","03.03.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17190","Cyprian Zydek","1004","","","","","0.00","","","","","","","","Inland","","","","DE","","14.04.2015","","","",""
"58915","DB Vertrieb GmbH","88","","","","","0.00","","paypal@deutschebahn.com","","","","","","Inland","","","","","","12.08.2019","","Nein","Ja",""
"18724","derakku.com","1043","","","","","0.00","","service@derakku.com","","","","","","Inland","48F34138VP351392C","10","","Schweiz","","14.07.2015","","","",""
"","","","","","","","","","","","","","","","","","10","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"16927","DHL","993","","","","0848 711 911","0.00","","","","Pumpwerkstrasse 51","8105","Regensdorf","","Inland","2037720","","","","","25.03.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"48869","Digi-Key Electronics","85","","","","0800-561-882","0.00","","eu.support@digikey.com","","P.O. Box 52","7500","AB Enschede","","Inland","","44","","Niederlande","","12.11.2018","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","57325930","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"391678","Digitale Gesellschaft","128","","","","","0.00","","","","","","Basel","","Inland","","","","","","19.09.2023","","Nein","Ja",""
"1749","Digitec","001","","","","0848 00 88 00","0.00","0848 00 88 01","digitec@digitec.ch","","Pfingstweidstrasse 60","8005","Zürich","","Inland","8659123","8659123","","","","04.09.2009","","","",""
"","","","","","","","","","","","","","","","","16436362","","","","","","","","",""
"","","","","","","","","","","","","","","","","","37","","","","","","","",""
"","","","","","","","","","","","","","","","","26426664","","","","","","","","",""
"","","","","","","","","","","","","","","","","14662872","","","","","","","","",""
"","","","","","","","","","","","","","","","","4950484","","","","","","","","",""
"","","","","","","","","","","","","","","","","12965055","","","","","","","","",""
"","","","","","","","","","","","","","","","","5302607","","","","","","","","",""
"","","","","","","","","","","","","","","","","","50","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","8643388","","","","","","","","",""
"","","","","","","","","","","","","","","","","9068949","","","","","","","","",""
"383656","Dilo Can Gastro GmbH","121","","","","","0.00","","","","","","Zürich","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"33026","Discounted Laptop Parts","59","ebay (348126)","","","","0.00","","","","225 Live Oaks Blvd","FL 32707","Casselberry","","Inland","970661","382136711775","","USA","","18.10.2017","","","",""
"","","","","","","","","","","","","","","","","","382136711775","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"33812","Discount Projector Lamp Store","63","","Ali Express","Store No.1261688","18620469223","0.00","","","","","","Anhui","","Inland","","","","China","","30.11.2017","","","",""
"","","","","","","","","","","","","","","","","","504478888401093","","","","","","","",""
"","","","","","","","","","","","","","","","","504478888401093","","","","","","","","",""
"2334","Distrelec","11","","","","","0.00","","","","","","","","Inland","","1000914128","","","","16.02.2010","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","5755270","","","","","","","","",""
"","","","","","","","","","","","","","","","","5684681","","","","","","","","",""
"","","","","","","","","","","","","","","","","","390 9096/001","","","","","","","",""
"","","","","","","","","","","","","","","","","","1000914128","","","","","","","",""
"27518","Doyle technology co., LTD","44","","Aliexpress","Store No.720896","","0.00","","","","","","","","Inland","","19","","China","","21.11.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","1111","","","","","","","","",""
"22882","DP-Tech GmbH","30","","","","","0.00","","kundenservice@dp-tech.de","","Aluminiumstr. 1","84513","Töging am Inn","","Inland","","","","Deutschland","","10.02.2016","","","",""
"","","","","","","","","","","","","","","","","TGU369685482","","","","","","","","",""
"387273","Drogama Apotheke","3105","","","","","0.00","","","","","","Zürich","","Inland","","","","","","25.07.2023","","Nein","Ja",""
"384201","Ebay","127","","","","","0.00","","","","","","","","Inland","","","","","","13.06.2023","","Nein","Ja",""
"31983","Ebay/PAYPAL *JORDAN918*","56","","","","","0.00","","","","","","","","Inland","","30","","","","16.08.2017","","","",""
"","","","","","","","","","","","","","","","","0SG79164K2708645L","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"31427","Ebuy Limited","54","","","","+86 08613421810214","0.00","","wzxeu8@126.com","","","","","","Inland","","","","","","05.07.2017","","","",""
"","","","","","","","","","","","","","","","","","28","","","","","","","",""
"","","","","","","","","","","","","","","","","8N679101YB802531G","","","","","","","","",""
"17724","e-CyclePro3","18","","","","","0.00","","","","","","Lecanto FL 34461","","Inland","","","","USA","","11.05.2015","","","",""
"394741","EET Schweiz GmbH","132","","","","","0.00","","","","","","","","Inland","","","","","","17.10.2023","","Nein","Ja",""
"387377","Elektrizitätswerk der Stadt Zürich","3108","","","","","0.00","","","","Tramstrasse 35","8050","Zürich","","Inland","","","","","","27.07.2023","","Nein","Ja",""
"383220","Entsorgung und Recycling Zürich","120","","","","","0.00","","","","","","Zürich","","Inland","","","","","","30.05.2023","","Nein","Ja",""
"2309","Evang. Ref. Kirchgemeinde","9","","","","","0.00","","","","Rosengartenstr. 1A","8037","Zürich-Wipkingen","","Inland","","","","","","16.02.2010","","","",""
"23747","fantastitrader14","1218","","","","","0.00","","fantastictraders14@gmail.com","","","","","","Inland","","","","Grossbritannien","","24.03.2016","","","",""
"","","","","","","","","","","","","","","","","1484323808008","","","","","","","","",""
"2076","Farbax Vertriebs AG","003","","","","044 745 10 10","0.00","044 475 10 11","info@farbax.com","","Riedstrasse 12","8953","Dietikon","","Inland","","","","","","16.09.2009","","","",""
"19512","FedEx","1071","","","","0848 133 339","0.00","","billch@fedex.com","CHE-106.088.063 TVA","Rue des Ateliers 9","1217","Meyrin","","Inland","2-211-26700","","","","","24.08.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"391684","FOLETTI COMPUTER","129","","","","","0.00","","","","","","","","Inland","","","","","","19.09.2023","","Nein","Ja",""
"388066","Galaxus","3123","","","","","0.00","","","","","","","","Inland","","","","","","09.08.2023","","Nein","Ja",""
"51212","Gebraucht-Notebook.de","86","","","","0049 2352 335766","0.00","","info@gebraucht-notebook.de","","Brunnenstrasse 10","58762","Altena","","Inland","","","","Deutschland","","07.01.2019","","Nein","Ja",""
"","","","","","","","","","","","","","","","","20182535R","","","","","","","","",""
"395338","GENOSSENSCHAFT CHORNLADE","133","","","","","0.00","","","","","","Zürich","","Inland","","","","","","24.10.2023","","Nein","Ja",""
"382821","Genossenschaft Infolink","111","","","","","0.00","","","","","","Zürich","","Inland","","","","","","23.05.2023","","Nein","Ja",""
"383676","Glattwägs","124","","","","","0.00","","","","","","Zürich","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"2094","green.ch ag","012","","","","056 460 23 23","0.00","056 460 23 00","","","Badstrasse 50","5201","Brugg","","Inland","","","","","","16.09.2009","","","",""
"383077","Handelsregisteramt des Kanton Zürich","115","","","","","0.00","","","","","","Zürich","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"29717","Hauck Ralph","47","","","","","0.00","","ralph_hauck@hotmail.ch","","","9122","Mogelsberg","","Inland","","","","","","08.03.2017","","","",""
"","","","","","","","","","","","","","","","","889594636","","","","","","","","",""
"33527","Hilti","60","","","","0844 84 84 85","0.00","","info@hilti.ch","","Schaffhauserstrasse 418","8050","Zürich","","Inland","","","","","","13.11.2017","","","",""
"27750","hk-greatdeal2009","1353","","","","","0.00","","","","","","Hongkong","","Inland","692858391026","22","","China","","26.11.2016","","","",""
"","","","","","","","","","","","","","","","","","22","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"19024","Homes Deco Ltd.","1044","","","","","0.00","","homesdeco@live.co.uk","","","","","","Inland","","","","England","","27.07.2015","","","",""
"","","","","","","","","","","","","","","","","","251825277857","","","","","","","",""
"","","","","","","","","","","","","","","","","53812077C8773824X","","","","","","","","",""
"18776","HOP ZUERI","21","","","","","0.00","","","","FRIEDAUSTR. 17","8040","ZÜRICH","","Inland","","","","","","15.07.2015","","","",""
"382171","Horber Emil","109","","","","","0.00","","","","","","Zürich","","Inland","","","","","","09.05.2023","","Nein","Ja",""
"23858","Hotel Römerhof","1219","","","","","0.00","","","","","","Bonn","","Inland","","","","Deutschland","","31.03.2016","","","",""
"35831","HSW laptop factory Store","67","","","","","0.00","","","","","","","","Inland","","","","China","","08.02.2018","","","",""
"","","","","","","","","","","","","","","","","505258316081093","","","","","","","","",""
"383217","IL BASILICO GMBH","119","","","","","0.00","","","","","","Zürich","","Inland","","","","","","30.05.2023","","Nein","Ja",""
"58958","Informatik","90","","","","","0.00","","micro@informatikshop.com","","","","","","Inland","","","","","","12.08.2019","","Nein","Ja",""
"17346","Ing Belgium","1013","","Geneva Branch","","","0.00","","","","","","Brussels","","Inland","","","","BE","","21.04.2015","","","",""
"4025","Init7 (Schweiz) AG","13","","","","+41 44 315 44 00","0.00","","info@init7.net","","Technoparkstrasse 5","8406","Winterthur","","Inland","","","","CH","","29.12.2011","","Nein","Ja",""
"4430","Inkolor.ch GmbH","14","","","","041 675 03 77","0.00","","info@inkolor.ch","","Rebstock 14","6074","Giswil","","Inland","","","","","","16.02.2012","","","",""
"19485","Interdiscount","23","","","","","0.00","","","","","","Zürich","","Inland","","","","","","24.08.2015","","","",""
"","","","","","","","","","","","","","","","","0002978","","","","","","","","",""
"2292","Internet.ch IT AG","6","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"38033","ipc","72","","","","","0.00","","","","","","","","Inland","","","","","","03.04.2018","","","",""
"7880","IPC-Computer Deutschland GmbH","16","","","","0049 7823 96123 0","0.00","","info@ipc-computer.de","","Eisenbahnstr. 20","77960","Seelbach","","Inland","5TB76078WE526820H","","","Deutschland","","09.03.2013","","","",""
"","","","","","","","","","","","","","","","","","42","","","","","","","",""
"","","","","","","","","","","","","","","","","","46","","","","","","","",""
"","","","","","","","","","","","","","","","","","47","","","","","","","",""
"","","","","","","","","","","","","","","","","","543861","","","","","","","",""
"","","","","","","","","","","","","","","","","","AU2018113","","","","","","","",""
"","","","","","","","","","","","","","","","","","41","","","","","","","",""
"","","","","","","","","","","","","","","","","","AU2018310","","","","","","","",""
"","","","","","","","","","","","","","","","","137370225","","","","","","","","",""
"","","","","","","","","","","","","","","","","1478160","","","","","","","","",""
"","","","","","","","","","","","","","","","","1814478","","","","","","","","",""
"","","","","","","","","","","","","","","","","1875188","","","","","","","","",""
"","","","","","","","","","","","","","","","","2037720","","","","","","","","",""
"","","","","","","","","","","","","","","","","2039439","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","2128980","","","","","","","","",""
"26730","jessen*daisy","40","","","","18938164898","0.00","","","","","","","","Inland","1607427875007","17","","China","","21.10.2016","","","",""
"","","","","","","","","","","","","","","","","","17","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2074","jET Schweiz IT AG","002","","","","052 742 99 99","0.00","052 742 99 00","a.vogelsanger@jet.ch","","Wiesholz 452","8262","Ramsen","","Inland","","","","","","16.09.2009","","","",""
"","","","","","","","","","","","","","","","","","","1","","","","","","",""
"23259","Jinhua Guanze Electron Co., Ltd.","1185","Ms. JIA FANG","","","","0.00","","","","DANXIDANDAO1171","321000","Shenzhen, Guangdong","","Inland","73373403951093","73373403951093","","China","","03.03.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","73373403951093","","","","","","","",""
"22788","JK Computer Parts","1176","","","","440 510 8154","0.00","","jkcompparts@gmail.com, support@jkcomputerparts.com","","29607 Hall St","44139","Solon, Ohio","","Inland","1154587532003","","","USA","","07.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","1393135585005","","","","","","","","",""
"394682","Job-Vermittlung Wipkingen Zügelhilf","131","","","","","0.00","","","","","","Wipkingen","","Inland","","","","","","16.10.2023","","Nein","Ja",""
"15556","Jumbo","940","","","","","0.00","","","","","","","","Inland","","","","","","14.01.2015","","","",""
"2092","JVC Construction AG","011","","","","044 491 33 93","0.00","044 491 33 94","","","Postfach 369","8047","Zürich","","Inland","","","","","","16.09.2009","","","",""
"2287","Kägi Jakob","5","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"22938","KANGDA Digital Technology's store","1180","","","","","0.00","","szkangda2011@gmail.com","","","","","","Inland","","","","China","","11.02.2016","","","",""
"","","","","","","","","","","","","","","","","70433362391093","","","","","","","","",""
"","","","","","","","","","","","","","","","","71425526361093","","","","","","","","",""
"438059","Kantonales Steueramt","138","","","","","0.00","","","","","","","","Inland","","","","","","14.09.2025","","Nein","Ja",""
"34334","Khallef Abdelhak","64","","","","","0.00","","abdelhak.khallef@revamp-it.ch","","","","","","Inland","","","","","","28.12.2017","","","",""
"","","","","","","","","","","","","","","","","1","","","","","","","","",""
"383056","Kivitendo GmbH","113","","","","","0.00","","","","","","Bonn","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"436410","KLDiscovery Limited SW","137","","","","","0.00","","","","HANNS-KLEMM-STRASSE 5","71'34","Böblingen","","Inland","","","","Deutschland","","25.05.2025","","Nein","Ja",""
"17731","Kohlmeyer Rolf","1018","","","","","0.00","","","","Lessingstrasse 5","06844","Dessau","","Inland","","","","","","11.05.2015","","","",""
"16959","Kulhavy Karel","996","","","","+41 77 437 637 8","0.00","","twibright@hispeed.ch","","Lägernstrasse 21","8037","Zürich","","Inland","Karel04012016","","","CH","","07.04.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"26587","L2 Computer Inc.","39","James Liu","","","212-315-1688","0.00","","order@l2computerinc.com","","726 10th Ave.","NY 10019","New York","","Inland","","","","USA","","16.10.2016","","","",""
"","","","","","","","","","","","","","","","","","1661394279011","","","","","","","",""
"","","","","","","","","","","","","","","","","1661394279011","","","","","","","","",""
"31546","LAI GUANG MING","55","","","","","0.00","","adapter888@gmail.com","","","","","","Inland","2P1416221W452354A","29","","","","12.07.2017","","","",""
"","","","","","","","","","","","","","","","","","29","","","","","","","",""
"61876","LAI GUANG MING","96","","","","","0.00","","adapter888@gmail.com","","","","","","Inland","","","","","","24.10.2019","","Nein","Ja",""
"31546","LAI GUANG MING","55","","","","","0.00","","adapter888@gmail.com","","","","","","Inland","","","","","","12.07.2017","","","",""
"19539","Laptiptop e.K","25","","","","+49 9367 98881 0","0.00","+49 9367 98881 29","info@laptiptop.com","","An der Spielleite 11","97294","Unterpleichfeld","","Inland","RN233419","","","Deutschland","","25.08.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"33720","laptop-battery-shop.com","62","","Fortune Buiding 111 Pak Tai","","+852-23653488","0.00","","service@laptop-battery-shop.com","","Street Tokwawan","","Kowloon, HongKong","","Inland","","","","","","27.11.2017","","","",""
"30520","Laptop-LCD-Screen.co.uk","50","","","","+44 (0) 203 355 9521","0.00","","","","5 High Street, Maidenhead","SL6 1JN","Berkshire","","Inland","3X499345ME668914U","25","","UNITED KINGDOM","","27.04.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","51637","","","","","","","","",""
"","","","","","","","","","","","","","","","","3X499345ME668914U","","","","","","","","",""
"","","","","","","","","","","","","","","","","","25","","","","","","","",""
"30723","LAPTOPSCREEN.COM","51","","","","","0.00","","","","1073 Churchill Cres.","V7P1P9","North Vancouver, BC","","Inland","","1494420324","","Canada","","10.05.2017","","","",""
"","","","","","","","","","","","","","","","","","51","","","","","","","",""
"","","","","","","","","","","","","","","","","1494420324","","","","","","","","",""
"","","","","","","","","","","","","","","","","1570028255","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"32748","laptopscreenwholesale@gmail.com","58","","","","","0.00","","","","","","","","Inland","","","","","","04.10.2017","","","",""
"","","","","","","","","","","","","","","","","","53631","","","","","","","",""
"","","","","","","","","","","","","","","","","4523-1507114308","","","","","","","","",""
"","","","","","","","","","","","","","","","","53631","","","","","","","","",""
"","","","","","","","","","","","","","","","","","35","","","","","","","",""
