"Lager","Lagerplatz","Artikelnummer","Typ","Artikelbeschreibung","Chargennummer","Menge","Einheit","Listenpreis","EK-Preis","Preisfaktor","Bestandswert","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"B-379","IDE-0007","000276","W","Hitachi Deskstar HDS722580VLAT20 80GB","","2","Stck","0.00","0.00","","0.00","","Hitachi","146","102","25","","","","","","","",""
"B-379","IDE-0004","000277","W","Maxtor DiamondMax Plus 9 -6Y120MO_120GB","","4","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","SATA-0002","000278","W","Western Digital Caviar WD3200KS-00PFB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0007","000278","W","Western Digital Caviar WD3200KS-00PFB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","000279","W","Samsung SP2004C","","1","Stck","0.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0002","000283","W","Seagate Barracuda ST3160812AS","","2","Stck","30.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"B-379","IDE-0003","000286","W","Samsung SP2504C 250GB","","1","Stck","0.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0001","000286","W","Samsung SP2504C 250GB","","1","Stck","0.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0004","000288","W","Seagate_ST3250310AS 250GB","","3","Stck","38.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"B-379","SATA-0005","000288","W","Seagate_ST3250310AS 250GB","","1","Stck","38.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"B-379","SATA-0004","000289","W","Samsung HD322HJ, 320GB","","3","Stck","40.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0007","000289","W","Samsung HD322HJ, 320GB","","4","Stck","40.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","IDE-0001","000291","W","Maxtor D740X-6L, 40GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0009","000292","W","Maxtor DiamondMax 32049H2 od. -H3","","14","Stck","0.00","0.00","","0.00","","Maxtor","150","100","30","","","","","","","",""
"B-379","IDE-0002","000294","W","Maxtor DiamondMax Plus 9_60GB","","3","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0001","000295","W","IBM Deskstar IC35L060AVV207-0 P/N 13G0221,60GB","","3","Stck","0.00","0.00","","0.00","","Lenovo / IBM","146","102","24","","","","","","","",""
"B-379","IDE-0007","000299","W","SAMSUNG - SP0802N 80GB","","10","Stck","0.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","IDE-0007","000304","W","Seagate U Series 7 ST380022A","","2","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0007","000305","W","Seagate Barracuda ATA IV ST380021A","","3","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0007","000306","W","Seagate Barracuda ST380023A","","1","Stck","0.00","0.00","","0.00","","Seagate","150","100","30","","","","","","","",""
"B-379","IDE-0008","000308","W","IBM Deskstar IC35L090AVV207-0","","1","Stck","0.00","0.00","","0.00","","IBM","14.7000","10.2000","2.6000","","","","","","","",""
"B-379","IDE-0004","000309","W","Hitachi Deskstar HDS722512VLAT20","","3","Stck","0.00","0.00","","0.00","","Hitachi","140","100","20","","","","","","","",""
"B-379","IDE-0004","000313","W","Seagate Barracuda 7200.7 ST3160021A","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"B-379","IDE-0004","000314","W","Hitachi Deskstar HDS721616PLAT80","","1","Stck","0.00","0.00","","0.00","","Hitachi","140","100","20","","","","","","","",""
"B-379","IDE-0004","000316","W","Hitachi Deskstar IC35L180AVV207-1","","1","Stck","0.00","0.00","","0.00","","Hitachi","140","100","20","","","","","","","",""
"B-379","IDE-0003","000317","W","Hitachi Deskstar HDS722525VLAT80","","2","Stck","0.00","0.00","","0.00","","Hitachi","140","100","20","","","","","","","",""
"B-379","IDE-0003","000318","W","Samsung HD300LD","","3","Stck","40.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0006","000319","W","Western Digital Caviar WD4000KS - 00MNB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0006","000320","W","Seagate Barracuda 7200.8 ST3400832AS","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","SATA-0006","000323","W","Samsung HD502HJ, 500GB","","2","Stck","0.00","0.00","","0.00","","Samsung","147","102","26","","","","","","","",""
"B-379","SATA-0005","000325","W","Maxtor DiamondMax Plus 9 - 6Y160M0","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","SATA-0007","000329","W","Western Digital WD5000ABYS - 01TNA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","30","","","","","","","",""
"B-379","IDE-0004","000336","W","Maxtor DiamondMax Plus 9 6Y160P0 160GB","","2","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0003","000338","W","Maxtor DiamondMax 10 6L250R0","","3","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0004","000349","W","Western Digital Caviar WD2000BB - 00GUC0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0007","000351","W","ExcelStor J880 80GB","","3","Stck","0.00","0.00","","0.00","","ExcelStor","147","102","26","","","","","","","",""
"B-379","SATA-0004","000401","W","HITACHI Deskstar HDT722525DLA380","","2","Stck","0.00","0.00","","0.00","","Hitachi","147","102","26","","","","","","","",""
"B-379","SATA-0002","000489","W","Seagate ST3250318AS 250GB","","4","Stck","0.00","0.00","","0.00","","Seagate","147","102","20","","","","","","","",""
"B-379","SATA-0004","000489","W","Seagate ST3250318AS 250GB","","4","Stck","0.00","0.00","","0.00","","Seagate","147","102","20","","","","","","","",""
"B-379","IDE-0003","000492","W","Western Digital WD2500AAJB-00J3A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","24","","","","","","","",""
"B-379","SATA-0002","000494","W","Western Digital Caviar Blue WD1600AAJS-00YZCA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","23","","","","","","","",""
"B-379","IDE-0006","000495","W","HITACHI Deskstar HDT722516DLAT80","","1","Stck","0.00","0.00","","0.00","","Hitachi","145","100","24","","","","","","","",""
"B-379","SATA-0001","000496","W","Seagate_ST3160815AS 160GB","","1","Stck","0.00","0.00","","0.00","","Seagate","145","100","20","","","","","","","",""
"B-379","SATA-0002","000496","W","Seagate_ST3160815AS 160GB","","1","Stck","0.00","0.00","","0.00","","Seagate","145","100","20","","","","","","","",""
"B-379","SATA-0005","000496","W","Seagate_ST3160815AS 160GB","","2","Stck","0.00","0.00","","0.00","","Seagate","145","100","20","","","","","","","",""
"B-379","IDE-0006","000501","W","Samsung SP1213N","","1","Stck","0.00","0.00","","0.00","","Samsung","146","102","24","","","","","","","",""
"B-379","IDE-0002","000528","W","Maxtor D740X-6L 20GB","","2","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0009","000528","W","Maxtor D740X-6L 20GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0001","000529","W","Seagate ATA IV ST320011A 20GB","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0002","000529","W","Seagate ATA IV ST320011A 20GB","","2","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0006","000529","W","Seagate ATA IV ST320011A 20GB","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0003","000530","W","Maxtor MaXline Plus II_250GB","","3","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0003","000531","W","ExcelStor Jupiter ESJ9250","","1","Stck","0.00","0.00","","0.00","","ExcelStor","0","0","0","","","","","","","",""
"B-379","IDE-0009","000693","W","Seagate U6","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","IDE-0009","000694","W","IBM Deskstar 40GV","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","147","102","26","","","","","","","",""
"B-379","IDE-0009","000695","W","Quantum Fireball ST21A011_2.1GB","","1","Stck","0.00","0.00","","0.00","","Quantum","147","102","26","","","","","","","",""
"B-379","IDE-0001","000708","W","Hitachi Deskstar IC35L060AVVA07-0 P/N 07N9212 62GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","102","24","","","","","","","",""
"B-379","SATA-0006","000905","W","Hitachi Deskstar HDS724040KLSA80","","1","Stck","0.00","0.00","","0.00","","Hitachi","147","102","27","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","000909","W","HP 530","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","358.14","226.06","35.56","","","","","","","",""
"B-379","IDE-0003","000988","WH","SAMSUNG HD400LD","","3","Stck","0.00","0.00","","0.00","","Samsung","220","194","62","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","001058","W","Dell OptiPlex GX620","","3","Stck","0.00","0.00","","0.00","","","","","","","","","","","","",""
"B-379","IDE-0007","001069","W","Maxtor DiamondMax 10 6L080L0","","5","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0007","001071","W","Hitachi Deskstar HDS721680PLAT80","","2","Stck","25.00","0.00","","0.00","","Hitachi","146","102","24","","","","","","","",""
"B-379","IDE-0005","001072","W","Western Digital_WD800JB-00JJC0 80GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","14.6000","10.2000","2.6000","","","","","","","",""
"B-379","IDE-0007","001072","W","Western Digital_WD800JB-00JJC0 80GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","14.6000","10.2000","2.6000","","","","","","","",""
"B-379","IDE-0005","001075","W","Western Digital Caviar WD800JB-00CRA1","","4","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","001078","W","WesternDigital Caviar SE WD800JD-75MSA3","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","25","","","","","","","",""
"B-379","IDE-0004","001083","W","Seagate Barracuda 7200.9 ST3160812A","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0009","001089","W","Western Digital Caviar WD300AB-72BVA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0009","001091","W","Seagate Barracuda ATA III ST320414A","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0003","001096","W","Maxtor DiamondMax Plus 9_250GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SATA-0001","001097","W","Seagate ST3500418AS 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","146","102","21","","","","","","","",""
"B-379","SATA-0003","001097","W","Seagate ST3500418AS 500GB","","10","Stck","0.00","0.00","","0.00","","Seagate","146","102","21","","","","","","","",""
"B-379","SATA-0009","001097","W","Seagate ST3500418AS 500GB","","48","Stck","0.00","0.00","","0.00","","Seagate","146","102","21","","","","","","","",""
"B-379","IDE-0003","001098","W","Hitachi HDS721050CLA362 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0001","001098","W","Hitachi HDS721050CLA362 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0003","001098","W","Hitachi HDS721050CLA362 500GB","","30","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0008","001098","W","Hitachi HDS721050CLA362 500GB","","3","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0003","001099","W","Seagate_ST3500620AS 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","SATA-0008","001099","W","Seagate_ST3500620AS 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","IDE-0006","001101","W","Quantum Fireball Ict 08_8GB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","IDE-0009","001102","W","Maxtor 2B020H1, 20GB","","30","Stck","0.00","0.00","","0.00","","Maxtor","147","102","18","","","","","","","",""
"B-379","IDE-0009","001104","W","Maxtor Fireball 3 2F020L0","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","17.5","","","","","","","",""
"B-379","IDE-0009","001111","W","Samsung SV2042H","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","IDE-0007","001115","W","Quantum Fireball CX_10.2GB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","IDE-0004","001116","W","Hitachi Deskstar IC35L120AVV207-0","","2","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","SATA-0005","001126","W","Maxtor DiamondMax 10 6L200M0, 200GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SAS-0001","001129","W","Fujitsu-Siemens Max3147RC","","1","Stck","0.00","0.00","","0.00","","Fujitsu / Fujitsu-Siemens / Siemens","0","0","0","","","","","","","",""
"B-379","SCSI-0003","001135","W","HP BD07286224","","2","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","001136","W","Maxtor Atlas 10k V","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SAS-0001","001142","W","Dell/Seagate Cheetah 15K.6 ST3300656SS","","1","Stck","0.00","0.00","","0.00","","Dell","120","80","25","","","","","","","",""
"B-379","SCSI-0003","001148","W","Fujitsu MAP3367NC","","2","Stck","0.00","0.00","","0.00","","Fujitsu / Fujitsu-Siemens / Siemens","0","0","0","","","","","","","",""
"B-379","SAS-0001","001150","W","Seagate Cheetah T10 ST3300555SS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0004","001152","W","Samsung HD251HJ","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","IDE-0004","001156","W","Maxtor DiamondMax Plus 9 6Y200P0_200GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","148","0","0","","","","","","","",""
"B-379","IDE-0001","001167","W","Hitachi Deskstar HDS722516VLAT80","","3","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","SATA-0004","001168","W","Hitachi Deskstar HDT721025SLA380","","1","Stck","0.00","0.00","","0.00","","Hitachi","147","102","26","","","","","","","",""
"B-379","SATA-0007","001213","W","Seagate Barracuda ES ST3250620NS","","1","Stck","50.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","SATA-0004","001226","W","WesternDigital WD2500AAJS-60B4A0 Caviar SE,250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0005","001228","W","Seagate Barracuda 7200.12 ST3160318AS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0002","001229","W","Samsung HD160HJ","","1","Stck","0.00","0.00","","0.00","","Samsung","145","100","25","","","","","","","",""
"B-379","IDE-0002","001241","W","WESTERN DIGITAL WD200BB-60DGAO","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0002","001255","W","WESTERN DIGITAL WD200BB-60CVB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0002","001256","W","WesternDigital WD204BB-71CAA1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0002","001257","W","WESTERN DIGITAL WD200BB-60BNA1","","3","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","001259","W","Seagate ST500DM002 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"B-379","SATA-0010","001259","W","Seagate ST500DM002 500GB","","36","Stck","0.00","0.00","","0.00","","Seagate","147","102","25","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","001261","W","Flachbildschirm 15 Zoll","","1","Stck","0.00","0.00","","0.00","","diverse","0","0","0","","","","","","","",""
"B-379","SATA-0005","001308","W","Samsung SpinPoint HD502IJ 500GB","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","SATA-0006","001308","W","Samsung SpinPoint HD502IJ 500GB","","2","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","SATA-0004","001309","W","Western Digital WD2500AAKX-753CA1","","8","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SCSI-0002","001310","W","Seagate Cheetah 10k.7 ST3146707LC 148GB","","2","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0005","001396","W","Seagate Barracuda 7200.7 ST3160023AS","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","IDE-0009","001428","W","Maxtor DiamondMax Plus 60 5T020H2","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0006","001430","W","IBM DTTA-351010","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","0","0","0","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","001497","W","IBM Thinkcentre M52 821529G","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","365","310","90","","","","","","","",""
"B-379","SATA-0001","001499","W","Seagate ST3500413AS 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","21","","","","","","","",""
"B-379","SATA-0003","001499","W","Seagate ST3500413AS 500GB","","4","Stck","0.00","0.00","","0.00","","Seagate","147","102","21","","","","","","","",""
"B-379","SATA-0005","001499","W","Seagate ST3500413AS 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","21","","","","","","","",""
"B-379","SATA-0008","001499","W","Seagate ST3500413AS 500GB","","11","Stck","0.00","0.00","","0.00","","Seagate","147","102","21","","","","","","","",""
"B-379","SATA-0006","001502","W","Western Digital WD500AAKX-001CA0 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","105","0","","","","","","","",""
"B-379","SATA-0006","001552","W","Western DigitalWD5000AAKX-60U6AA0 500GB","","5","Stck","0.00","0.00","","0.00","","WesternDigital","145","105","25","","","","","","","",""
"B-379","SATA-0008","001553","W","Western Digital_WD5000AAKX-603CA0 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0006","001691","W","Seagate ST3500641NS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0008","001691","W","Seagate ST3500641NS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0005","001692","W","Western Digital WD1600JS-23MHB0","","2","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0005","001740","W","WesternDigital Caviar SE WD800JD-75MSA2","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","001741","W","WesternDigital Caviar SE WD800JD-60LSAD","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","25","","","","","","","",""
"B-379","SATA-0005","001742","W","WesternDigital Caviar SE WD800JD-55MUA1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","CPU-0","001788","W","Intel Pentium 4 3.20 GHz 640 SL7Z8","","1","Stck","0.00","0.00","","0.00","","Intel","35","35","5","","","","","","","",""
"B-379","SATA-0001","001882","W","Samsung SpinPoint SP0812C 80GB","","1","Stck","0.00","0.00","","0.00","","Samsung","140","100","25","","","","","","","",""
"B-379","SATA-0003","001883","W","Western Digital WD5000AADS-00S9B0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","24","","","","","","","",""
"B-379","SATA-0008","001883","W","Western Digital WD5000AADS-00S9B0","","6","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","24","","","","","","","",""
"B-379","SATA-0006","001884","W","Western Digital WD5000AAKS-60YGA1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0008","001885","W","Seagate_ST3500630AS 500GB","","2","Stck","0.00","0.00","","0.00","","Seagate","150","105","0.0","","","","","","","",""
"B-379","IDE-0001","001888","W","Seagate Barracuda 7200.7 ST3200822A","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0005","001889","W","Western Digital WD800JD-00HKA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0008","001891","W","Maxtor 98196H8","","2","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SATA-0001","002035","W","Western Digital WD5000AAKS-60A7B2 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0008","002036","W","Hitachi HDS721050CLA662 500GB","","4","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","IDE-0008","002037","W","IBM Deskstar IC35L080AVVA07-0","","2","Stck","0.00","0.00","","0.00","","Lenovo / IBM","147","102","26","","","","","","","",""
"B-379","IDE-0004","002038","W","Western Digital WD1600AVJB-63J5A0_160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0008","002038","W","Western Digital WD1600AVJB-63J5A0_160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0008","002039","W","Maxtor DiamondMax Plus 9_120GB","","4","Stck","0.00","0.00","","0.00","","Maxtor","146","102","26","","","","","","","",""
"B-379","SATA-0002","002401","W","Western Digital WD1600JS-55NCB1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0002","002402","W","Western Digital Caviar WD1600AAJS-08WAA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","002406","W","Maxtor DiamondMax 10 6B160M0","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","SATA-0001","002470","W","Western Digital Blue WD500AAKX-76UAA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0010","002470","W","Western Digital Blue WD500AAKX-76UAA0","","18","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0008","002688","W","Western Digital Caviar Blue WD5000AAKS-007AA0","","2","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
